Month,Total Waste (Million Tons),Red Meat,Poultry,Fish,Leafy Vegetables,Root Vegetables,Citrus Fruits,Berries,Whole Grains,Processed Grains,Dairy,Legumes & Seeds,Other Items
2029-07,5.654,0.512,0.439,0.366,0.878,0.732,0.439,0.366,0.585,0.439,0.256,0.512,0.128
2029-08,5.899,0.535,0.458,0.382,0.916,0.764,0.458,0.382,0.611,0.458,0.267,0.535,0.134
2029-09,5.654,0.512,0.439,0.366,0.878,0.732,0.439,0.366,0.585,0.439,0.256,0.512,0.128
2029-10,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
2029-11,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
2029-12,5.899,0.535,0.458,0.382,0.916,0.764,0.458,0.382,0.611,0.458,0.267,0.535,0.134
2030-01,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-02,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-03,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-04,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-05,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-06,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-07,5.71,0.518,0.443,0.37,0.887,0.739,0.443,0.37,0.591,0.443,0.259,0.518,0.129
2030-08,5.958,0.54,0.463,0.386,0.926,0.772,0.463,0.386,0.617,0.463,0.27,0.54,0.135
2030-09,5.71,0.518,0.443,0.37,0.887,0.739,0.443,0.37,0.591,0.443,0.259,0.518,0.129
2030-10,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-11,4.965,0.45,0.386,0.321,0.771,0.643,0.386,0.321,0.514,0.386,0.225,0.45,0.113
2030-12,5.958,0.54,0.463,0.386,0.926,0.772,0.463,0.386,0.617,0.463,0.27,0.54,0.135
2031-01,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-02,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-03,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-04,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-05,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-06,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-07,5.767,0.523,0.448,0.373,0.896,0.747,0.448,0.373,0.597,0.448,0.261,0.523,0.131
2031-08,6.018,0.545,0.467,0.389,0.935,0.779,0.467,0.389,0.623,0.467,0.273,0.545,0.136
2031-09,5.767,0.523,0.448,0.373,0.896,0.747,0.448,0.373,0.597,0.448,0.261,0.523,0.131
2031-10,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-11,5.015,0.455,0.389,0.325,0.779,0.649,0.389,0.325,0.519,0.389,0.227,0.455,0.114
2031-12,6.018,0.545,0.467,0.389,0.935,0.779,0.467,0.389,0.623,0.467,0.273,0.545,0.136
2032-01,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-02,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-03,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-04,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-05,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-06,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-07,5.825,0.528,0.452,0.377,0.905,0.754,0.452,0.377,0.603,0.452,0.264,0.528,0.132
2032-08,6.078,0.551,0.472,0.393,0.944,0.787,0.472,0.393,0.629,0.472,0.275,0.551,0.138
2032-09,5.825,0.528,0.452,0.377,0.905,0.754,0.452,0.377,0.603,0.452,0.264,0.528,0.132
2032-10,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-11,5.065,0.459,0.393,0.328,0.787,0.656,0.393,0.328,0.524,0.393,0.23,0.459,0.115
2032-12,6.078,0.551,0.472,0.393,0.944,0.787,0.472,0.393,0.629,0.472,0.275,0.551,0.138
2033-01,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-02,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-03,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-04,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-05,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-06,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-07,5.883,0.533,0.457,0.381,0.914,0.762,0.457,0.381,0.609,0.457,0.267,0.533,0.133
2033-08,6.139,0.556,0.477,0.397,0.954,0.795,0.477,0.397,0.636,0.477,0.278,0.556,0.139
2033-09,5.883,0.533,0.457,0.381,0.914,0.762,0.457,0.381,0.609,0.457,0.267,0.533,0.133
2033-10,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-11,5.116,0.464,0.397,0.331,0.795,0.662,0.397,0.331,0.53,0.397,0.232,0.464,0.116
2033-12,6.139,0.556,0.477,0.397,0.954,0.795,0.477,0.397,0.636,0.477,0.278,0.556,0.139
2034-01,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-02,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-03,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-04,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-05,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-06,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-07,5.942,0.539,0.461,0.385,0.923,0.769,0.461,0.385,0.615,0.461,0.269,0.539,0.135
2034-08,6.2,0.562,0.482,0.401,0.963,0.803,0.482,0.401,0.642,0.482,0.281,0.562,0.14
2034-09,5.942,0.539,0.461,0.385,0.923,0.769,0.461,0.385,0.615,0.461,0.269,0.539,0.135
2034-10,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-11,5.167,0.468,0.401,0.334,0.803,0.669,0.401,0.334,0.535,0.401,0.234,0.468,0.117
2034-12,6.2,0.562,0.482,0.401,0.963,0.803,0.482,0.401,0.642,0.482,0.281,0.562,0.14
2035-01,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-02,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-03,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-04,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-05,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-06,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-07,6.001,0.544,0.466,0.388,0.932,0.777,0.466,0.388,0.621,0.466,0.272,0.544,0.136
2035-08,6.262,0.568,0.486,0.405,0.973,0.811,0.486,0.405,0.648,0.486,0.284,0.568,0.142
2035-09,6.001,0.544,0.466,0.388,0.932,0.777,0.466,0.388,0.621,0.466,0.272,0.544,0.136
2035-10,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-11,5.219,0.473,0.405,0.338,0.811,0.676,0.405,0.338,0.54,0.405,0.236,0.473,0.118
2035-12,6.262,0.568,0.486,0.405,0.973,0.811,0.486,0.405,0.648,0.486,0.284,0.568,0.142
